time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0
9.025e-07,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1
9.075e-07,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1
9.124999999999999e-07,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1
9.175e-07,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1
9.225e-07,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
9.275e-07,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1
9.325e-07,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1
9.375e-07,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
9.425e-07,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
9.475e-07,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
9.525e-07,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1
9.575e-07,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1
9.625e-07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9.675e-07,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
9.725e-07,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
9.775e-07,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
9.825e-07,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
9.875e-07,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0
9.925e-07,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
9.975e-07,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0
1.0025e-06,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
1.0075e-06,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0
1.0125e-06,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0
1.0175e-06,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0
1.0225e-06,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
1.0275e-06,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0
1.0325e-06,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0
1.0375e-06,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0
1.0425e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1.0475e-06,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1
1.0525e-06,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1
1.0575e-06,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1
1.0625e-06,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1
1.0675e-06,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1
1.0725e-06,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1
1.0775e-06,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
1.0825e-06,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1
1.0875e-06,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1
1.0925e-06,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1
1.0975e-06,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
1.1025e-06,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1
1.1075e-06,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1
1.1125e-06,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1
1.1175e-06,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1
1.1225e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1.1275e-06,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0
1.1325e-06,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0
1.1375e-06,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0
1.1425e-06,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0
1.1475e-06,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
1.1525e-06,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0
1.1575e-06,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0
1.1625e-06,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
1.1675e-06,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
1.1725e-06,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
1.1775e-06,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0
1.1825e-06,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0
1.1875e-06,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0
1.1925e-06,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0
1.1975e-06,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0
1.2025e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1.2075e-06,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1
1.2125e-06,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1
1.2175e-06,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1
1.2225e-06,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1
1.2275000000000001e-06,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1
1.2325e-06,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1
1.2375e-06,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1
1.2425e-06,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
1.2475e-06,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1.2525e-06,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1
1.2575e-06,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1
1.2625e-06,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1
1.2675e-06,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
1.2725e-06,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1
1.2775e-06,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
