time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0,A_val,B_val,Z_val,Expected,Pass
1.0675e-06,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,5,13,65,65,True
1.0725e-06,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,6,13,78,78,True
1.0775e-06,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,7,13,91,91,True
1.0825e-06,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,8,13,104,104,True
1.0875e-06,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,9,13,117,117,True
1.0925e-06,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,10,13,130,130,True
1.0975e-06,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,11,13,143,143,True
1.1025e-06,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,12,13,156,156,True
1.1075e-06,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,13,13,169,169,True
1.1125e-06,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,14,13,182,182,True
1.1175e-06,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,15,13,195,195,True
1.1225e-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,14,0,0,True
1.1275e-06,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,14,14,14,True
1.1325e-06,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,2,14,28,28,True
1.1375e-06,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,3,14,42,42,True
1.1425e-06,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,4,14,56,56,True
1.1475e-06,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,5,14,70,70,True
1.1525e-06,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,6,14,84,84,True
1.1575e-06,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,7,14,98,98,True
1.1625e-06,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,8,14,112,112,True
1.1675e-06,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,9,14,126,126,True
1.1725e-06,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,10,14,140,140,True
1.1775e-06,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,11,14,154,154,True
1.1825e-06,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,12,14,168,168,True
1.1875e-06,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,13,14,182,182,True
1.1925e-06,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,14,14,196,196,True
1.1975e-06,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,15,14,210,210,True
